time (ms),datetime,samples,Viavi.Cell.Name,Viavi.isEnergySaving,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbUsedDl,RRU.PrbUsedUl,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotUl,RRU.PrbTotDl,RRU.MaxLayerDlMimo,CARR.AverageLayersDl,Viavi.Cell.AverageBeamsDl,RRC.ConnMean,RRC.ConnMax,QosFlow.TotPdcpPduVolumeUl,QosFlow.TotPdcpPduVolumeDl,PEE.AvgPower,PEE.Energy,Viavi.PEE.SleepTimerTotal,MM.HoExeIntraReq,MM.HoExeIntraSucc,MM.HoExeInterReq,MM.HoExeInterSucc,Viavi.PEE.EnergyEfficiency,Viavi.Radio.power,Viavi.Radio.antennaType,Viavi.Radio.azimuth,Viavi.Geo.x,Viavi.Geo.y,Viavi.Geo.z,Viavi.GnbDuId,Viavi.RuId,Viavi.NrPci,Viavi.NrCgi,Viavi.Cell.LinkCost,RRC.ConnEstabAtt.mo-Data,RRC.ConnEstabAtt.mo-VoiceCall,RRC.ConnEstabAtt.mo-VideoCall,RRC.ConnEstabSucc.mo-Data,RRC.ConnEstabSucc.mo-VoiceCall,RRC.ConnEstabSucc.mo-VideoCall,RRC.ConnEstabFailCause.NetworkReject,Viavi.Frequency,Viavi.SpectralEfficiencyDl,Viavi.SpectralEfficiencyUl,Viavi.QoS.Score
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S5/N12/C1,0,7.81998,0.358434,10.9628,105.293,106,106,99.3333,9.96667,0.995556,0.995556,0.995556,0.995556,0.995556,358.434,7819.98,102.814,0.0128395,0,0,0,0,0,75.7942,50,1,0,-1892,-860,10,5,10,13,4240821235048448,0,0,0,0,0,0,0,0,700,0.390999,0.0179217,97.5578
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S5/N12/C2,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.00697647,0,0,0,0,0,0,50,1,120,-1892,-860,10,5,10,14,4240821235048448,0,0,0,0,0,0,0,0,700,0,0,0
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S5/N12/C3,0,15.7094,0.358,22.0104,105.882,106,106,99.8889,20.01,1,1,1,2,2,358,15709.4,150.391,0.0188309,0,0,0,0,0,104.464,50,1,240,-1892,-860,10,5,10,15,4240821235048448,0,0,0,0,0,0,0,0,700,0.78547,0.0179,97.9911
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S6/N12/C1,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.00697647,0,0,0,0,0,0,50,1,0,-127,-1047,10,6,12,16,4240821235048449,0,0,0,0,0,0,0,0,700,0,0,0
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S6/N12/C2,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.00697647,0,0,0,0,0,0,50,1,120,-127,-1047,10,6,12,17,4240821235048450,0,0,0,0,0,0,0,0,700,0,0,0
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S6/N12/C3,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.00697647,0,0,0,0,0,0,50,1,240,-127,-1047,10,6,12,18,4240821235048450,0,0,0,0,0,0,0,0,700,0,0,0
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S7/N12/C1,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.00697647,0,0,0,0,0,0,50,1,0,917,-760,10,7,14,19,4240821235048450,0,0,0,0,0,0,0,0,700,0,0,0
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S7/N12/C2,0,7.8549,0.360439,11.0117,105.882,106,106,99.8889,10.0111,1,1,1,1,1,360.439,7854.9,103.127,0.0129177,0,0,0,0,0,76.188,50,1,120,917,-760,10,7,14,20,4240821235048450,0,0,0,0,0,0,0,0,700,0.392745,0.0180219,97.9933
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S7/N12/C3,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.00697647,0,0,0,0,0,0,50,1,240,917,-760,10,7,14,21,4240821235048450,0,0,0,0,0,0,0,0,700,0,0,0
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S1/N1/C1,0,7.8549,0.360439,11.0117,105.882,106,106,99.8889,10.0111,1,1,1,1,1,360.439,7854.9,103.127,0.0129177,0,0,0,0,0,76.188,50,1,0,-535,907,10,1,1,22,4240821235048450,0,0,0,0,0,0,0,0,2100,0.392745,0.0180219,97.9933
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S1/N1/C2,0,7.8549,0.360439,11.0117,105.882,106,106,99.8889,10.0111,1,1,1,1,1,360.439,7854.9,103.127,0.0129177,0,0,0,0,0,76.1919,50,1,120,-535,907,10,1,1,23,4240821235048450,0,0,0,0,0,0,0,0,2100,0.392745,0.0180219,97.9933
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S1/N1/C3,0,7.8549,0.360439,11.0117,105.882,106,106,99.8889,10.0111,1,1,1,1,1,360.439,7854.9,103.478,0.0130056,0,0,0,0,0,76.1493,50,1,240,-535,907,10,1,1,24,4240821235048450,0,0,0,0,0,0,0,0,2100,0.392745,0.0180219,97.9933
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S2/N1/C1,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.00697647,0,0,0,0,0,0,50,1,0,1232,1051,10,2,3,25,4240821235048450,0,0,0,0,0,0,0,0,2100,0,0,0
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S2/N1/C2,0,0.0343403,0.0012028,0.0606173,0.353333,106,106,0.333333,0.0555556,0.00444444,0.00444444,1,0.00444444,1,1.2028,34.3403,56.0609,0.00705409,0,0.997778,0.995556,0,0,0.27937,50,1,120,1232,1051,10,2,3,26,4240821235048450,0,0,0,0,0,0,0,0,2100,0.00171701,6.014e-05,0.428889
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S2/N1/C3,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.00697647,0,0,0,0,0,0,50,1,240,1232,1051,10,2,3,27,4240821235048450,0,0,0,0,0,0,0,0,2100,0,0,0
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S3/N1/C1,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.00697647,0,0,0,0,0,0,50,1,0,-953,65,10,3,5,28,4240821235048451,0,0,0,0,0,0,0,0,2100,0,0,0
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S3/N1/C2,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.00697647,0,0,0,0,0,0,50,1,120,-953,65,10,3,5,29,4240821235048451,0,0,0,0,0,0,0,0,2100,0,0,0
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S3/N1/C3,0,7.88884,0.360431,11.0593,105.882,106,106,99.8889,10.0544,1,1,1,1.00444,2,360.431,7888.84,103.325,0.0129672,0,0.997778,0.995556,0,0,76.3081,50,1,240,-953,65,10,3,5,30,4240821235048451,0,0,0,0,0,0,0,0,2100,0.394442,0.0180215,97.9911
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S4/N1/C1,0,15.6748,0.358014,21.9732,105.882,106,106,99.8889,19.9767,1,1,1,1.99556,1.99556,358.014,15674.8,150.134,0.0187668,0,0,0,0,0,104.318,50,1,0,1900,239,10,4,7,31,4240821235048451,0,0,0,0,0,0,0,0,2100,0.783742,0.0179007,97.9889
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S4/N1/C2,0,7.85448,0.360439,11.0162,105.882,106,106,99.8889,10.0144,1,1,1,1,1,360.439,7854.48,103.161,0.0129263,0,0,0,0,0,76.1732,50,1,120,1900,239,10,4,7,32,4240821235048451,0,0,0,0,0,0,0,0,2100,0.392724,0.0180219,97.9889
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S4/N1/C3,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.00697647,0,0,0,0,0,0,50,1,240,1900,239,10,4,7,33,4240821235048455,0,0,0,0,0,0,0,0,2100,0,0,0
